#   time    x   y   vx  vy
  0.00000000e+00   0.00000000e+00   1.00000000e+00   3.53553391e+01   3.53553391e+01
  1.00000000e-01   3.53553391e+00   4.53553391e+00   3.53553391e+01   3.43753391e+01
  2.00000000e-01   7.07106781e+00   7.97306781e+00   3.53553391e+01   3.33953391e+01
  3.00000000e-01   1.06066017e+01   1.13126017e+01   3.53553391e+01   3.24153391e+01
  4.00000000e-01   1.41421356e+01   1.45541356e+01   3.53553391e+01   3.14353391e+01
  5.00000000e-01   1.76776695e+01   1.76976695e+01   3.53553391e+01   3.04553391e+01
  6.00000000e-01   2.12132034e+01   2.07432034e+01   3.53553391e+01   2.94753391e+01
  7.00000000e-01   2.47487373e+01   2.36907373e+01   3.53553391e+01   2.84953391e+01
  8.00000000e-01   2.82842712e+01   2.65402712e+01   3.53553391e+01   2.75153391e+01
  9.00000000e-01   3.18198052e+01   2.92918052e+01   3.53553391e+01   2.65353391e+01
  1.00000000e+00   3.53553391e+01   3.19453391e+01   3.53553391e+01   2.55553391e+01
  1.10000000e+00   3.88908730e+01   3.45008730e+01   3.53553391e+01   2.45753391e+01
  1.20000000e+00   4.24264069e+01   3.69584069e+01   3.53553391e+01   2.35953391e+01
  1.30000000e+00   4.59619408e+01   3.93179408e+01   3.53553391e+01   2.26153391e+01
  1.40000000e+00   4.94974747e+01   4.15794747e+01   3.53553391e+01   2.16353391e+01
  1.50000000e+00   5.30330086e+01   4.37430086e+01   3.53553391e+01   2.06553391e+01
  1.60000000e+00   5.65685425e+01   4.58085425e+01   3.53553391e+01   1.96753391e+01
  1.70000000e+00   6.01040764e+01   4.77760764e+01   3.53553391e+01   1.86953391e+01
  1.80000000e+00   6.36396103e+01   4.96456103e+01   3.53553391e+01   1.77153391e+01
  1.90000000e+00   6.71751442e+01   5.14171442e+01   3.53553391e+01   1.67353391e+01
  2.00000000e+00   7.07106781e+01   5.30906781e+01   3.53553391e+01   1.57553391e+01
  2.10000000e+00   7.42462120e+01   5.46662120e+01   3.53553391e+01   1.47753391e+01
  2.20000000e+00   7.77817459e+01   5.61437459e+01   3.53553391e+01   1.37953391e+01
  2.30000000e+00   8.13172798e+01   5.75232798e+01   3.53553391e+01   1.28153391e+01
  2.40000000e+00   8.48528137e+01   5.88048137e+01   3.53553391e+01   1.18353391e+01
  2.50000000e+00   8.83883476e+01   5.99883476e+01   3.53553391e+01   1.08553391e+01
  2.60000000e+00   9.19238816e+01   6.10738816e+01   3.53553391e+01   9.87533906e+00
  2.70000000e+00   9.54594155e+01   6.20614155e+01   3.53553391e+01   8.89533906e+00
  2.80000000e+00   9.89949494e+01   6.29509494e+01   3.53553391e+01   7.91533906e+00
  2.90000000e+00   1.02530483e+02   6.37424833e+01   3.53553391e+01   6.93533906e+00
  3.00000000e+00   1.06066017e+02   6.44360172e+01   3.53553391e+01   5.95533906e+00
  3.10000000e+00   1.09601551e+02   6.50315511e+01   3.53553391e+01   4.97533906e+00
  3.20000000e+00   1.13137085e+02   6.55290850e+01   3.53553391e+01   3.99533906e+00
  3.30000000e+00   1.16672619e+02   6.59286189e+01   3.53553391e+01   3.01533906e+00
