#   time    x   y   vx  vy  ax  ay
  0.00000000e+00   0.00000000e+00   1.00000000e+00   3.53553391e+01   3.53553391e+01  -1.10110726e+01  -2.08110726e+01
  1.00000000e-02   3.53002837e-01   1.35251284e+00   3.52452283e+01   3.51472283e+01  -1.09273911e+01  -2.06970073e+01
  2.00000000e-02   7.04908751e-01   1.70295027e+00   3.51359544e+01   3.49402583e+01  -1.08446037e+01  -2.05842027e+01
  3.00000000e-02   1.05572606e+00   2.05132364e+00   3.50275084e+01   3.47344162e+01  -1.07626978e+01  -2.04726411e+01
  4.00000000e-02   1.40546301e+00   2.39764417e+00   3.49198814e+01   3.45296898e+01  -1.06816612e+01  -2.03623053e+01
  5.00000000e-02   1.75412774e+00   2.74192296e+00   3.48130648e+01   3.43260668e+01  -1.06014817e+01  -2.02531781e+01
  6.00000000e-02   2.10172832e+00   3.08417096e+00   3.47070500e+01   3.41235350e+01  -1.05221474e+01  -2.01452430e+01
  7.00000000e-02   2.44827271e+00   3.42439905e+00   3.46018285e+01   3.39220826e+01  -1.04436468e+01  -2.00384834e+01
  8.00000000e-02   2.79376881e+00   3.76261795e+00   3.44973920e+01   3.37216977e+01  -1.03659682e+01  -1.99328833e+01
  9.00000000e-02   3.13822444e+00   4.09883829e+00   3.43937324e+01   3.35223689e+01  -1.02891005e+01  -1.98284267e+01
  1.00000000e-01   3.48164730e+00   4.43307055e+00   3.42908413e+01   3.33240846e+01  -1.02130327e+01  -1.97250981e+01
  1.10000000e-01   3.82404507e+00   4.76532515e+00   3.41887110e+01   3.31268336e+01  -1.01377537e+01  -1.96228822e+01
  1.20000000e-01   4.16542529e+00   5.09561234e+00   3.40873335e+01   3.29306048e+01  -1.00632529e+01  -1.95217638e+01
  1.30000000e-01   4.50579546e+00   5.42394230e+00   3.39867010e+01   3.27353872e+01  -9.98951990e+00  -1.94217283e+01
  1.40000000e-01   4.84516299e+00   5.75032508e+00   3.38868058e+01   3.25411699e+01  -9.91654426e+00  -1.93227610e+01
  1.50000000e-01   5.18353522e+00   6.07477064e+00   3.37876403e+01   3.23479423e+01  -9.84431586e+00  -1.92248476e+01
  1.60000000e-01   5.52091941e+00   6.39728882e+00   3.36891972e+01   3.21556938e+01  -9.77282473e+00  -1.91279741e+01
  1.70000000e-01   5.85732274e+00   6.71788936e+00   3.35914689e+01   3.19644141e+01  -9.70206107e+00  -1.90321267e+01
  1.80000000e-01   6.19275233e+00   7.03658190e+00   3.34944483e+01   3.17740928e+01  -9.63201522e+00  -1.89372917e+01
  1.90000000e-01   6.52721521e+00   7.35337596e+00   3.33981281e+01   3.15847199e+01  -9.56267772e+00  -1.88434558e+01
  2.00000000e-01   6.86071836e+00   7.66828099e+00   3.33025014e+01   3.13962853e+01  -9.49403925e+00  -1.87506059e+01
  2.10000000e-01   7.19326867e+00   7.98130631e+00   3.32075610e+01   3.12087793e+01  -9.42609064e+00  -1.86587290e+01
  2.20000000e-01   7.52487298e+00   8.29246117e+00   3.31133001e+01   3.10221920e+01  -9.35882288e+00  -1.85678123e+01
  2.30000000e-01   7.85553803e+00   8.60175470e+00   3.30197118e+01   3.08365139e+01  -9.29222712e+00  -1.84778435e+01
  2.40000000e-01   8.18527054e+00   8.90919594e+00   3.29267896e+01   3.06517354e+01  -9.22629465e+00  -1.83888101e+01
  2.50000000e-01   8.51407712e+00   9.21479386e+00   3.28345266e+01   3.04678473e+01  -9.16101690e+00  -1.83007001e+01
  2.60000000e-01   8.84196434e+00   9.51855730e+00   3.27429165e+01   3.02848403e+01  -9.09638544e+00  -1.82135016e+01
  2.70000000e-01   9.16893868e+00   9.82049502e+00   3.26519526e+01   3.01027053e+01  -9.03239198e+00  -1.81272029e+01
  2.80000000e-01   9.49500659e+00   1.01206157e+01   3.25616287e+01   2.99214333e+01  -8.96902839e+00  -1.80417924e+01
  2.90000000e-01   9.82017443e+00   1.04189280e+01   3.24719384e+01   2.97410154e+01  -8.90628663e+00  -1.79572589e+01
  3.00000000e-01   1.01444485e+01   1.07154402e+01   3.23828755e+01   2.95614428e+01  -8.84415882e+00  -1.78735911e+01
  3.10000000e-01   1.04678350e+01   1.10101610e+01   3.22944339e+01   2.93827069e+01  -8.78263722e+00  -1.77907781e+01
  3.20000000e-01   1.07903402e+01   1.13030985e+01   3.22066076e+01   2.92047991e+01  -8.72171417e+00  -1.77088091e+01
  3.30000000e-01   1.11119702e+01   1.15942611e+01   3.21193904e+01   2.90277110e+01  -8.66138218e+00  -1.76276734e+01
  3.40000000e-01   1.14327311e+01   1.18836568e+01   3.20327766e+01   2.88514342e+01  -8.60163386e+00  -1.75473607e+01
  3.50000000e-01   1.17526288e+01   1.21712938e+01   3.19467603e+01   2.86759606e+01  -8.54246195e+00  -1.74678605e+01
  3.60000000e-01   1.20716692e+01   1.24571800e+01   3.18613356e+01   2.85012820e+01  -8.48385928e+00  -1.73891629e+01
  3.70000000e-01   1.23898584e+01   1.27413234e+01   3.17764971e+01   2.83273904e+01  -8.42581882e+00  -1.73112577e+01
  3.80000000e-01   1.27072021e+01   1.30237317e+01   3.16922389e+01   2.81542778e+01  -8.36833365e+00  -1.72341353e+01
  3.90000000e-01   1.30237061e+01   1.33044128e+01   3.16085555e+01   2.79819365e+01  -8.31139696e+00  -1.71577858e+01
  4.00000000e-01   1.33393760e+01   1.35833742e+01   3.15254416e+01   2.78103586e+01  -8.25500203e+00  -1.70821999e+01
  4.10000000e-01   1.36542177e+01   1.38606237e+01   3.14428915e+01   2.76395366e+01  -8.19914226e+00  -1.70073681e+01
  4.20000000e-01   1.39682367e+01   1.41361687e+01   3.13609001e+01   2.74694629e+01  -8.14381117e+00  -1.69332812e+01
  4.30000000e-01   1.42814385e+01   1.44100167e+01   3.12794620e+01   2.73001301e+01  -8.08900235e+00  -1.68599301e+01
  4.40000000e-01   1.45938286e+01   1.46821750e+01   3.11985720e+01   2.71315308e+01  -8.03470952e+00  -1.67873060e+01
  4.50000000e-01   1.49054126e+01   1.49526509e+01   3.11182249e+01   2.69636578e+01  -7.98092647e+00  -1.67153999e+01
  4.60000000e-01   1.52161958e+01   1.52214517e+01   3.10384156e+01   2.67965038e+01  -7.92764712e+00  -1.66442033e+01
  4.70000000e-01   1.55261836e+01   1.54885846e+01   3.09591392e+01   2.66300617e+01  -7.87486545e+00  -1.65737075e+01
  4.80000000e-01   1.58353813e+01   1.57540565e+01   3.08803905e+01   2.64643247e+01  -7.82257555e+00  -1.65039042e+01
  4.90000000e-01   1.61437940e+01   1.60178745e+01   3.08021647e+01   2.62992856e+01  -7.77077161e+00  -1.64347851e+01
  5.00000000e-01   1.64514271e+01   1.62800457e+01   3.07244570e+01   2.61349378e+01  -7.71944791e+00  -1.63663419e+01
  5.10000000e-01   1.67582857e+01   1.65405767e+01   3.06472625e+01   2.59712743e+01  -7.66859879e+00  -1.62985668e+01
  5.20000000e-01   1.70643749e+01   1.67994745e+01   3.05705766e+01   2.58082887e+01  -7.61821871e+00  -1.62314517e+01
  5.30000000e-01   1.73696998e+01   1.70567459e+01   3.04943944e+01   2.56459742e+01  -7.56830219e+00  -1.61649889e+01
  5.40000000e-01   1.76742653e+01   1.73123973e+01   3.04187113e+01   2.54843243e+01  -7.51884386e+00  -1.60991707e+01
  5.50000000e-01   1.79780765e+01   1.75664356e+01   3.03435229e+01   2.53233326e+01  -7.46983840e+00  -1.60339895e+01
  5.60000000e-01   1.82811382e+01   1.78188673e+01   3.02688245e+01   2.51629927e+01  -7.42128060e+00  -1.59694378e+01
  5.70000000e-01   1.85834554e+01   1.80696987e+01   3.01946117e+01   2.50032983e+01  -7.37316532e+00  -1.59055083e+01
  5.80000000e-01   1.88850329e+01   1.83189364e+01   3.01208801e+01   2.48442432e+01  -7.32548749e+00  -1.58421937e+01
  5.90000000e-01   1.91858754e+01   1.85665867e+01   3.00476252e+01   2.46858213e+01  -7.27824212e+00  -1.57794870e+01
  6.00000000e-01   1.94859877e+01   1.88126560e+01   2.99748428e+01   2.45280264e+01  -7.23142430e+00  -1.57173810e+01
