#   time    x   y   vx  vy
  0.00000000e+00   0.00000000e+00   1.00000000e+00   3.83582576e+01   3.20724816e+01
  1.00000000e-02   3.82985261e-01   1.31973538e+00   3.82387946e+01   3.18745950e+01
  2.00000000e-02   7.64780354e-01   1.63749715e+00   3.81202241e+01   3.16777586e+01
  3.00000000e-02   1.14539416e+00   1.95329575e+00   3.80025367e+01   3.14819608e+01
  4.00000000e-02   1.52483546e+00   2.26714150e+00   3.78857229e+01   3.12871902e+01
  5.00000000e-02   1.90311294e+00   2.57904463e+00   3.77697736e+01   3.10934357e+01
  6.00000000e-02   2.28023520e+00   2.88901524e+00   3.76546795e+01   3.09006862e+01
  7.00000000e-02   2.65621076e+00   3.19706332e+00   3.75404318e+01   3.07089307e+01
  8.00000000e-02   3.03104803e+00   3.50319877e+00   3.74270216e+01   3.05181585e+01
  9.00000000e-02   3.40475534e+00   3.80743136e+00   3.73144400e+01   3.03283590e+01
  1.00000000e-01   3.77734093e+00   4.10977076e+00   3.72026786e+01   3.01395218e+01
  1.10000000e-01   4.14881296e+00   4.41022655e+00   3.70917287e+01   2.99516364e+01
  1.20000000e-01   4.51917952e+00   4.70880820e+00   3.69815820e+01   2.97646927e+01
  1.30000000e-01   4.88844858e+00   5.00552507e+00   3.68722301e+01   2.95786807e+01
  1.40000000e-01   5.25662805e+00   5.30038642e+00   3.67636650e+01   2.93935904e+01
  1.50000000e-01   5.62372577e+00   5.59340143e+00   3.66558786e+01   2.92094121e+01
  1.60000000e-01   5.98974948e+00   5.88457917e+00   3.65488628e+01   2.90261361e+01
  1.70000000e-01   6.35470684e+00   6.17392862e+00   3.64426099e+01   2.88437528e+01
  1.80000000e-01   6.71860545e+00   6.46145865e+00   3.63371120e+01   2.86622529e+01
  1.90000000e-01   7.08145282e+00   6.74717805e+00   3.62323616e+01   2.84816271e+01
  2.00000000e-01   7.44325638e+00   7.03109551e+00   3.61283511e+01   2.83018663e+01
  2.10000000e-01   7.80402351e+00   7.31321965e+00   3.60250731e+01   2.81229614e+01
  2.20000000e-01   8.16376147e+00   7.59355898e+00   3.59225201e+01   2.79449034e+01
  2.30000000e-01   8.52247750e+00   7.87212191e+00   3.58206850e+01   2.77676837e+01
  2.40000000e-01   8.88017872e+00   8.14891680e+00   3.57195605e+01   2.75912934e+01
  2.50000000e-01   9.23687222e+00   8.42395189e+00   3.56191396e+01   2.74157241e+01
  2.60000000e-01   9.59256500e+00   8.69723534e+00   3.55194154e+01   2.72409673e+01
  2.70000000e-01   9.94726398e+00   8.96877525e+00   3.54203808e+01   2.70670146e+01
  2.80000000e-01   1.03009760e+01   9.23857961e+00   3.53220292e+01   2.68938577e+01
  2.90000000e-01   1.06537079e+01   9.50665635e+00   3.52243538e+01   2.67214885e+01
  3.00000000e-01   1.10054665e+01   9.77301328e+00   3.51273479e+01   2.65498991e+01
  3.10000000e-01   1.13562582e+01   1.00376582e+01   3.50310050e+01   2.63790814e+01
  3.20000000e-01   1.17060898e+01   1.03005987e+01   3.49353187e+01   2.62090275e+01
  3.30000000e-01   1.20549678e+01   1.05618425e+01   3.48402825e+01   2.60397299e+01
  3.40000000e-01   1.24028987e+01   1.08213971e+01   3.47458902e+01   2.58711808e+01
  3.50000000e-01   1.27498888e+01   1.10792698e+01   3.46521354e+01   2.57033726e+01
  3.60000000e-01   1.30959446e+01   1.13354682e+01   3.45590121e+01   2.55362980e+01
  3.70000000e-01   1.34410722e+01   1.15899994e+01   3.44665141e+01   2.53699495e+01
  3.80000000e-01   1.37852780e+01   1.18428708e+01   3.43746355e+01   2.52043200e+01
  3.90000000e-01   1.41285680e+01   1.20940894e+01   3.42833704e+01   2.50394021e+01
  4.00000000e-01   1.44709484e+01   1.23436623e+01   3.41927128e+01   2.48751889e+01
  4.10000000e-01   1.48124252e+01   1.25915967e+01   3.41026570e+01   2.47116733e+01
  4.20000000e-01   1.51530045e+01   1.28378993e+01   3.40131972e+01   2.45488484e+01
  4.30000000e-01   1.54926921e+01   1.30825770e+01   3.39243278e+01   2.43867074e+01
  4.40000000e-01   1.58314940e+01   1.33256368e+01   3.38360433e+01   2.42252436e+01
  4.50000000e-01   1.61694159e+01   1.35670853e+01   3.37483380e+01   2.40644501e+01
  4.60000000e-01   1.65064636e+01   1.38069291e+01   3.36612066e+01   2.39043206e+01
  4.70000000e-01   1.68426429e+01   1.40451750e+01   3.35746437e+01   2.37448484e+01
  4.80000000e-01   1.71779593e+01   1.42818293e+01   3.34886439e+01   2.35860272e+01
  4.90000000e-01   1.75124185e+01   1.45168987e+01   3.34032020e+01   2.34278505e+01
  5.00000000e-01   1.78460261e+01   1.47503895e+01   3.33183128e+01   2.32703121e+01
  5.10000000e-01   1.81787875e+01   1.49823081e+01   3.32339711e+01   2.31134058e+01
  5.20000000e-01   1.85107083e+01   1.52126608e+01   3.31501718e+01   2.29571255e+01
  5.30000000e-01   1.88417937e+01   1.54414537e+01   3.30669100e+01   2.28014651e+01
  5.40000000e-01   1.91720491e+01   1.56686932e+01   3.29841807e+01   2.26464187e+01
  5.50000000e-01   1.95014799e+01   1.58943852e+01   3.29019789e+01   2.24919803e+01
  5.60000000e-01   1.98300913e+01   1.61185358e+01   3.28202999e+01   2.23381440e+01
  5.70000000e-01   2.01578885e+01   1.63411510e+01   3.27391388e+01   2.21849042e+01
  5.80000000e-01   2.04848767e+01   1.65622368e+01   3.26584909e+01   2.20322550e+01
  5.90000000e-01   2.08110609e+01   1.67817990e+01   3.25783515e+01   2.18801909e+01
  6.00000000e-01   2.11364462e+01   1.69998435e+01   3.24987159e+01   2.17287063e+01
  6.10000000e-01   2.14610377e+01   1.72163760e+01   3.24195796e+01   2.15777956e+01
  6.20000000e-01   2.17848403e+01   1.74314023e+01   3.23409381e+01   2.14274534e+01
  6.30000000e-01   2.21078589e+01   1.76449279e+01   3.22627869e+01   2.12776744e+01
  6.40000000e-01   2.24300984e+01   1.78569586e+01   3.21851215e+01   2.11284532e+01
  6.50000000e-01   2.27515637e+01   1.80674997e+01   3.21079376e+01   2.09797846e+01
  6.60000000e-01   2.30722596e+01   1.82765570e+01   3.20312308e+01   2.08316632e+01
  6.70000000e-01   2.33921907e+01   1.84841357e+01   3.19549968e+01   2.06840841e+01
  6.80000000e-01   2.37113619e+01   1.86902414e+01   3.18792315e+01   2.05370421e+01
  6.90000000e-01   2.40297777e+01   1.88948792e+01   3.18039306e+01   2.03905322e+01
  7.00000000e-01   2.43474428e+01   1.90980546e+01   3.17290899e+01   2.02445495e+01
  7.10000000e-01   2.46643617e+01   1.92997728e+01   3.16547054e+01   2.00990889e+01
  7.20000000e-01   2.49805391e+01   1.95000390e+01   3.15807731e+01   1.99541457e+01
  7.30000000e-01   2.52959794e+01   1.96988583e+01   3.15072888e+01   1.98097151e+01
  7.40000000e-01   2.56106871e+01   1.98962358e+01   3.14342487e+01   1.96657922e+01
  7.50000000e-01   2.59246666e+01   2.00921767e+01   3.13616487e+01   1.95223725e+01
  7.60000000e-01   2.62379223e+01   2.02866858e+01   3.12894851e+01   1.93794512e+01
  7.70000000e-01   2.65504585e+01   2.04797682e+01   3.12177540e+01   1.92370238e+01
  7.80000000e-01   2.68622795e+01   2.06714287e+01   3.11464515e+01   1.90950858e+01
  7.90000000e-01   2.71733896e+01   2.08616723e+01   3.10755739e+01   1.89536326e+01
  8.00000000e-01   2.74837931e+01   2.10505038e+01   3.10051175e+01   1.88126598e+01
  8.10000000e-01   2.77934941e+01   2.12379279e+01   3.09350786e+01   1.86721630e+01
  8.20000000e-01   2.81024967e+01   2.14239494e+01   3.08654535e+01   1.85321378e+01
  8.30000000e-01   2.84108052e+01   2.16085730e+01   3.07962387e+01   1.83925801e+01
  8.40000000e-01   2.87184235e+01   2.17918033e+01   3.07274305e+01   1.82534854e+01
  8.50000000e-01   2.90253558e+01   2.19736450e+01   3.06590254e+01   1.81148497e+01
  8.60000000e-01   2.93316060e+01   2.21541026e+01   3.05910200e+01   1.79766688e+01
  8.70000000e-01   2.96371782e+01   2.23331806e+01   3.05234107e+01   1.78389385e+01
  8.80000000e-01   2.99420762e+01   2.25108836e+01   3.04561941e+01   1.77016548e+01
  8.90000000e-01   3.02463040e+01   2.26872159e+01   3.03893668e+01   1.75648137e+01
  9.00000000e-01   3.05498655e+01   2.28621820e+01   3.03229255e+01   1.74284111e+01
  9.10000000e-01   3.08527645e+01   2.30357863e+01   3.02568669e+01   1.72924432e+01
  9.20000000e-01   3.11550047e+01   2.32080331e+01   3.01911876e+01   1.71569061e+01
  9.30000000e-01   3.14565901e+01   2.33789266e+01   3.01258844e+01   1.70217959e+01
  9.40000000e-01   3.17575243e+01   2.35484711e+01   3.00609540e+01   1.68871088e+01
