#   theta   maximum distance
  3.00000000e+01   1.20778908e+02
#   theta   maximum distance
  3.01000000e+01   1.20868613e+02
#   theta   maximum distance
  3.02000000e+01   1.21146869e+02
#   theta   maximum distance
  3.03000000e+01   1.21234397e+02
#   theta   maximum distance
  3.04000000e+01   1.21321038e+02
#   theta   maximum distance
  3.05000000e+01   1.21406791e+02
#   theta   maximum distance
  3.06000000e+01   1.21491656e+02
#   theta   maximum distance
  3.07000000e+01   1.21575633e+02
#   theta   maximum distance
  3.08000000e+01   1.21658721e+02
#   theta   maximum distance
  3.09000000e+01   1.21740920e+02
#   theta   maximum distance
  3.10000000e+01   1.21822230e+02
#   theta   maximum distance
  3.11000000e+01   1.22088183e+02
#   theta   maximum distance
  3.12000000e+01   1.22167317e+02
#   theta   maximum distance
  3.13000000e+01   1.22245562e+02
#   theta   maximum distance
  3.14000000e+01   1.22322917e+02
#   theta   maximum distance
  3.15000000e+01   1.22399382e+02
#   theta   maximum distance
  3.16000000e+01   1.22474957e+02
#   theta   maximum distance
  3.17000000e+01   1.22549641e+02
#   theta   maximum distance
  3.18000000e+01   1.22623434e+02
#   theta   maximum distance
  3.19000000e+01   1.22696336e+02
#   theta   maximum distance
  3.20000000e+01   1.22768346e+02
#   theta   maximum distance
  3.21000000e+01   1.22839464e+02
#   theta   maximum distance
  3.22000000e+01   1.22909691e+02
#   theta   maximum distance
  3.23000000e+01   1.23159527e+02
#   theta   maximum distance
  3.24000000e+01   1.23227578e+02
#   theta   maximum distance
  3.25000000e+01   1.23294736e+02
#   theta   maximum distance
  3.26000000e+01   1.23361001e+02
#   theta   maximum distance
  3.27000000e+01   1.23426373e+02
#   theta   maximum distance
  3.28000000e+01   1.23490851e+02
#   theta   maximum distance
  3.29000000e+01   1.23554435e+02
#   theta   maximum distance
  3.30000000e+01   1.23617125e+02
#   theta   maximum distance
  3.31000000e+01   1.23678920e+02
#   theta   maximum distance
  3.32000000e+01   1.23739820e+02
#   theta   maximum distance
  3.33000000e+01   1.23799826e+02
#   theta   maximum distance
  3.34000000e+01   1.23858935e+02
#   theta   maximum distance
  3.35000000e+01   1.23917149e+02
#   theta   maximum distance
  3.36000000e+01   1.23974466e+02
#   theta   maximum distance
  3.37000000e+01   1.24030887e+02
#   theta   maximum distance
  3.38000000e+01   1.24086411e+02
#   theta   maximum distance
