#   time    x   y   vx  vy
  0.00000000e+00   0.00000000e+00   1.00000000e+00   3.53553391e+01   3.53553391e+01
  1.00000000e-02   3.53080697e-01   1.35251284e+00   3.52608003e+01   3.51472283e+01
  2.00000000e-02   7.05219495e-01   1.70295015e+00   3.51669593e+01   3.49402341e+01
  3.00000000e-02   1.05642333e+00   2.05132304e+00   3.50738086e+01   3.47343443e+01
  4.00000000e-02   1.40669908e+00   2.39764250e+00   3.49813411e+01   3.45295471e+01
  5.00000000e-02   1.75605354e+00   2.74191939e+00   3.48895495e+01   3.43258307e+01
  6.00000000e-02   2.10449342e+00   3.08416446e+00   3.47984270e+01   3.41231835e+01
  7.00000000e-02   2.45202539e+00   3.42438835e+00   3.47079664e+01   3.39215940e+01
  8.00000000e-02   2.79865602e+00   3.76260157e+00   3.46181611e+01   3.37210511e+01
  9.00000000e-02   3.14439185e+00   4.09881455e+00   3.45290041e+01   3.35215436e+01
  1.00000000e-01   3.48923932e+00   4.43303757e+00   3.44404890e+01   3.33230606e+01
  1.10000000e-01   3.83320481e+00   4.76528083e+00   3.43526090e+01   3.31255911e+01
  1.20000000e-01   4.17629464e+00   5.09555440e+00   3.42653578e+01   3.29291246e+01
  1.30000000e-01   4.51851507e+00   5.42386828e+00   3.41787289e+01   3.27336505e+01
  1.40000000e-01   4.85987230e+00   5.75023233e+00   3.40927159e+01   3.25391584e+01
  1.50000000e-01   5.20037244e+00   6.07465631e+00   3.40073128e+01   3.23456381e+01
  1.60000000e-01   5.54002157e+00   6.39714989e+00   3.39225132e+01   3.21530793e+01
  1.70000000e-01   5.87882569e+00   6.71772265e+00   3.38383112e+01   3.19614722e+01
  1.80000000e-01   6.21679075e+00   7.03638405e+00   3.37547008e+01   3.17708068e+01
  1.90000000e-01   6.55392264e+00   7.35314345e+00   3.36716760e+01   3.15810735e+01
  2.00000000e-01   6.89022717e+00   7.66801013e+00   3.35892310e+01   3.13922625e+01
  2.10000000e-01   7.22571013e+00   7.98099326e+00   3.35073601e+01   3.12043646e+01
  2.20000000e-01   7.56037721e+00   8.29210194e+00   3.34260575e+01   3.10173701e+01
  2.30000000e-01   7.89423409e+00   8.60134514e+00   3.33453176e+01   3.08312700e+01
  2.40000000e-01   8.22728635e+00   8.90873176e+00   3.32651349e+01   3.06460552e+01
  2.50000000e-01   8.55953955e+00   9.21427062e+00   3.31855040e+01   3.04617165e+01
  2.60000000e-01   8.89099916e+00   9.51797043e+00   3.31064193e+01   3.02782451e+01
  2.70000000e-01   9.22167064e+00   9.81983982e+00   3.30278756e+01   3.00956322e+01
  2.80000000e-01   9.55155935e+00   1.01198873e+01   3.29498677e+01   2.99138692e+01
  2.90000000e-01   9.88067064e+00   1.04181214e+01   3.28723902e+01   2.97329475e+01
  3.00000000e-01   1.02090098e+01   1.07145504e+01   3.27954381e+01   2.95528586e+01
  3.10000000e-01   1.05365820e+01   1.10091827e+01   3.27190062e+01   2.93735942e+01
