#   time    x   y   vx  vy
  0.00000000e+00   0.00000000e+00   1.00000000e+00   3.53553391e+01   3.53553391e+01
  1.00000000e-02   3.52924977e-01   1.35251284e+00   3.52296563e+01   3.51472283e+01
  2.00000000e-02   7.04598040e-01   1.70295039e+00   3.51049564e+01   3.49402824e+01
  3.00000000e-02   1.05502896e+00   2.05132424e+00   3.49812285e+01   3.47344881e+01
  4.00000000e-02   1.40422742e+00   2.39764585e+00   3.48584622e+01   3.45298324e+01
  5.00000000e-02   1.75220297e+00   2.74192652e+00   3.47366471e+01   3.43263026e+01
  6.00000000e-02   2.09896507e+00   3.08417746e+00   3.46157729e+01   3.41238860e+01
  7.00000000e-02   2.44452308e+00   3.42440975e+00   3.44958295e+01   3.39225703e+01
  8.00000000e-02   2.78888626e+00   3.76263431e+00   3.43768070e+01   3.37223431e+01
  9.00000000e-02   3.13206377e+00   4.09886199e+00   3.42586956e+01   3.35231923e+01
  1.00000000e-01   3.47406468e+00   4.43310348e+00   3.41414856e+01   3.33251061e+01
  1.10000000e-01   3.81489794e+00   4.76536937e+00   3.40251675e+01   3.31280727e+01
  1.20000000e-01   4.15457244e+00   5.09567014e+00   3.39097318e+01   3.29320805e+01
  1.30000000e-01   4.49309695e+00   5.42401613e+00   3.37951693e+01   3.27371181e+01
  1.40000000e-01   4.83048015e+00   5.75041759e+00   3.36814708e+01   3.25431742e+01
  1.50000000e-01   5.16673064e+00   6.07488465e+00   3.35686273e+01   3.23502376e+01
  1.60000000e-01   5.50185692e+00   6.39742733e+00   3.34566300e+01   3.21582976e+01
  1.70000000e-01   5.83586742e+00   6.71805553e+00   3.33454700e+01   3.19673431e+01
  1.80000000e-01   6.16877047e+00   7.03677907e+00   3.32351387e+01   3.17773635e+01
  1.90000000e-01   6.50057430e+00   7.35360763e+00   3.31256276e+01   3.15883484e+01
  2.00000000e-01   6.83128708e+00   7.66855080e+00   3.30169282e+01   3.14002874e+01
  2.10000000e-01   7.16091688e+00   7.98161809e+00   3.29090322e+01   3.12131701e+01
  2.20000000e-01   7.48947170e+00   8.29281887e+00   3.28019314e+01   3.10269865e+01
  2.30000000e-01   7.81695944e+00   8.60216244e+00   3.26956178e+01   3.08417266e+01
  2.40000000e-01   8.14338795e+00   8.90965798e+00   3.25900833e+01   3.06573806e+01
  2.50000000e-01   8.46876496e+00   9.21531457e+00   3.24853201e+01   3.04739388e+01
  2.60000000e-01   8.79309817e+00   9.51914123e+00   3.23813204e+01   3.02913916e+01
